island_id,pixel_area,bbox_x0,bbox_y0,bbox_x1,bbox_y1,centroid_u,centroid_v,root_to_tip_u,root_to_tip_v,face_count,mesh_names,part_counts,category_counts
1,20848,1424,15,1583,293,0.7342311,0.9257319,0.0195672,-0.9998085,31,pasted__polySurface41Shape,"{""back"":31}","{""back_center"":10,""back_lower"":21}"
2,28379,950,23,1162,367,0.5027799,0.8887293,-0.2262718,-0.9740642,24,pasted__polySurface41Shape,"{""back"":24}","{""back_center"":3,""back_lower"":21}"
3,61609,1593,25,2016,266,0.8727518,0.9396744,-0.9996451,0.0266383,132,pasted__pasted__polySurface26Shape,"{""braid"":132}","{""left_braid_mid"":1,""left_braid_top"":65,""right_braid_mid"":1,""right_braid_top"":65}"
4,29121,1197,30,1424,367,0.6543467,0.8877083,0.2948081,-0.9555565,24,pasted__polySurface41Shape,"{""back"":24}","{""back_center"":3,""back_lower"":21}"
5,80578,508,31,655,830,0.2883267,0.7953835,0.0472124,-0.9988849,55,pasted__polySurface41Shape,"{""back"":55}","{""back_left"":18,""back_lower"":16,""back_top"":21}"
6,77254,375,38,499,840,0.2161233,0.7788757,-0.0301912,-0.9995441,45,pasted__polySurface41Shape,"{""back"":45}","{""back_left"":22,""back_lower"":7,""back_top"":16}"
7,80600,89,39,226,843,0.0747593,0.7904322,-0.0169417,-0.9998565,55,pasted__polySurface41Shape,"{""back"":55}","{""back_lower"":16,""back_right"":18,""back_top"":21}"
8,77439,240,40,360,843,0.1457431,0.7913629,0.0062831,0.9999803,45,pasted__polySurface41Shape,"{""back"":45}","{""back_lower"":7,""back_right"":22,""back_top"":16}"
9,1,946,93,946,93,0.4621397,0.9545677,1.0,-0.0,0,,{},{}
10,40,946,93,953,102,0.463874,0.9523449,0.5599117,-0.8285523,32,pasted__polySurface41Shape,"{""back"":32}","{""back_left"":11,""back_lower"":6,""back_right"":11,""back_top"":4}"
11,16,947,104,951,108,0.4639106,0.9482169,0.6922317,0.7216753,28,pasted__polySurface41Shape,"{""back"":28}","{""back_lower"":27,""back_top"":1}"
12,68520,658,119,792,838,0.355378,0.7462585,-0.0246666,-0.9996957,35,pasted__polySurface41Shape,"{""back"":35}","{""back_left"":15,""back_lower"":5,""back_top"":15}"
13,68435,806,123,941,843,0.4277359,0.7839002,-0.0430697,0.9990721,35,pasted__polySurface41Shape,"{""back"":35}","{""back_lower"":5,""back_right"":15,""back_top"":15}"
